id	codigo	direccion	localidad	provincia	ubicacion	latitud	longitud	fuente	fecha_creacion
241	310	Chivilcoy 3840	Capital Federal	Capital Federal		-34.600509053282830	-58.511235313084875	Georef	2026-06-22 15:56:13.843
242	311	Av. Monroe 2771	Capital Federal	Capital Federal		-34.560305546614510	-58.463314678100660	Georef	2026-06-22 15:56:18.103
243	312	Cerviño 4634	Capital Federal	Capital Federal		-34.575359730779326	-58.422716097633060	Georef	2026-06-22 15:56:21.970
244	313	Montañeses 2267	Capital Federal	Capital Federal		-34.700210784771950	-58.568558136739405	Georef	2026-06-22 15:56:25.773
245	314	Segurola 2344	Capital Federal	Capital Federal		-34.715869240019586	-58.720967296216660	Georef	2026-06-22 15:56:29.940
246	315	Jose Pedro Varela 3191	Capital Federal	Capital Federal		-34.598487262907510	-58.497293413344340	Georef	2026-06-22 15:56:33.790
249	318	Arroyo 859	Capital Federal	Capital Federal		-34.591580382032824	-58.379347789671606	Georef	2026-06-22 15:57:01.617
251	322	Del Carril 3210	Capital Federal	Capital Federal		-34.720889770960340	-58.801555670575155	Georef	2026-06-22 15:57:19.597
252	323	Montes de Oca 304	Capital Federal	Capital Federal		-32.046336682439670	-61.782818260072420	Georef	2026-06-22 15:57:23.450
253	324	Av. Directorio 1766	Capital Federal	Capital Federal		-34.630971225088140	-58.452675159115856	Georef	2026-06-22 15:57:27.397
254	325	Vidal 2355	Capital Federal	Capital Federal		-34.561814491576236	-58.462400136048345	Georef	2026-06-22 15:57:31.547
255	326	Alvarez Jonte 4872	Capital Federal	Capital Federal		-34.717659130634004	-58.779606255286330	Georef	2026-06-22 15:57:35.363
256	327	Av. Las Heras 2643	Capital Federal	Capital Federal		-34.584788335067360	-58.400193768543150	Georef	2026-06-22 15:57:39.503
257	328	Godoy Cruz 2793	Capital Federal	Capital Federal		-32.892262122732156	-68.801109637792890	Georef	2026-06-22 15:57:43.433
258	329	Lavalle 1747	Capital Federal	Capital Federal		-29.462665196693937	-60.221185102767640	Georef	2026-06-22 15:57:48.253
259	331	Charcas 3171	Capital Federal	Capital Federal		-34.664647192999720	-58.524839358218415	Georef	2026-06-22 15:57:52.263
260	332	Billinghurst 1380	Capital Federal	Capital Federal		-34.699316589418540	-58.620784366389124	Georef	2026-06-22 15:57:56.043
261	334	439	Gob. Arias 2420	Castelar		-34.801366205163700	-58.317571725902800	Georef	2026-06-22 15:58:00.040
262	335	440	Av. Cazon 1336	Tigre		-34.881762429226850	-58.092888983098900	Georef	2026-06-22 15:58:03.570
263	336	Charcas 3315 II	Capital Federal	Capital Federal		-34.591526222884500	-58.412531060041495	Georef	2026-06-22 15:58:07.370
264	337	Av. Federico Lacroze 2566	Capital Federal	Capital Federal		-34.572153477786360	-58.446163107999710	Georef	2026-06-22 15:58:11.317
265	338	Tucuman 831	Capital Federal	Capital Federal		-33.130145159078860	-64.327962607665680	Georef	2026-06-22 15:58:15.143
266	339	Av. Los Incas 4466	Capital Federal	Capital Federal		-34.581150762724060	-58.474097555266070	Georef	2026-06-22 15:58:18.933
267	341	Viamonte 352	Capital Federal	Capital Federal		-32.967181660910690	-60.632396036016495	Georef	2026-06-22 15:58:22.800
268	343	Amenabar 1187	Capital Federal	Capital Federal		-32.971966398412796	-60.645868610853476	Georef	2026-06-22 15:58:26.530
270	346	Suarez 1599	Capital Federal	Capital Federal		-34.638517813805100	-58.373377932057800	Georef	2026-06-22 15:58:42.083
271	347	Pacheco de Melo 2648	Capital Federal	Capital Federal		-34.586769032485606	-58.401408688858610	Georef	2026-06-22 15:58:46.007
272	348	Av. Rivadavia 3421	Capital Federal	Capital Federal		-34.610756500250496	-58.414743936773310	Georef	2026-06-22 15:58:49.893
273	349	Av. Cabildo 34	Capital Federal	Capital Federal		-34.574651128743575	-58.435942958252350	Georef	2026-06-22 15:58:53.670
274	351	Echeverria 2067	Capital Federal	Capital Federal		-33.885655351838814	-60.588369751338064	Georef	2026-06-22 15:58:57.657
275	352	Rodriguez Peña 1183	Capital Federal	Capital Federal		-29.784225899276176	-58.059238165743650	Georef	2026-06-22 15:59:01.453
