method,path,file,line,router_var
GET,/:companyId/modules,src/routes/company.routes.ts,174,companyRouter
PATCH,/:companyId/modules,src/routes/company.routes.ts,182,companyRouter
GET,/:companyId/company-alert-recipients,src/routes/company.routes.ts,191,companyRouter
POST,/:companyId/company-alert-recipients,src/routes/company.routes.ts,199,companyRouter
PATCH,/:companyId/company-alert-recipients/:recipientId,src/routes/company.routes.ts,208,companyRouter
DELETE,/:companyId/company-alert-recipients/:recipientId,src/routes/company.routes.ts,217,companyRouter
GET,/:companyId/company-report-email-recipients,src/routes/company.routes.ts,225,companyRouter
POST,/:companyId/company-report-email-recipients,src/routes/company.routes.ts,233,companyRouter
PATCH,/:companyId/company-report-email-recipients/:recipientId,src/routes/company.routes.ts,242,companyRouter
DELETE,/:companyId/company-report-email-recipients/:recipientId,src/routes/company.routes.ts,251,companyRouter
POST,/:companyId/daily-attendance-reports/trigger,src/routes/company.routes.ts,259,companyRouter
POST,/run,src/routes/dev-reminder.routes.ts,31,devReminderRouter
POST,/run-job-once,src/routes/dev-reminder.routes.ts,41,devReminderRouter
POST,/test,src/routes/dev-reminder.routes.ts,50,devReminderRouter
GET,/,src/routes/employee-category.routes.ts,15,employeeCategoryRouter
POST,/,src/routes/employee-category.routes.ts,22,employeeCategoryRouter
PATCH,/:categoryId,src/routes/employee-category.routes.ts,29,employeeCategoryRouter
POST,/,src/routes/employee.routes.ts,28,employeeRouter
GET,/,src/routes/employee.routes.ts,34,employeeRouter
GET,/:employeeId/absence-balances,src/routes/employee.routes.ts,40,employeeRouter
PUT,/:employeeId/absence-balances/:absenceTypeId,src/routes/employee.routes.ts,47,employeeRouter
GET,/:employeeId/absence-balances/:absenceTypeId/movements,src/routes/employee.routes.ts,54,employeeRouter
POST,/:employeeId/absence-balances/:absenceTypeId/adjustments,src/routes/employee.routes.ts,61,employeeRouter
POST,/:employeeId/absence-balances/:absenceTypeId/movements/:movementId/reversal,src/routes/employee.routes.ts,68,employeeRouter
GET,/:id/deactivation-impact,src/routes/employee.routes.ts,75,employeeRouter
GET,/:id/operational-availability,src/routes/employee.routes.ts,81,employeeRouter
GET,/:id/operations,src/routes/employee.routes.ts,87,employeeRouter
POST,/:id/deactivate,src/routes/employee.routes.ts,95,employeeRouter
GET,/:id,src/routes/employee.routes.ts,102,employeeRouter
PUT,/:id,src/routes/employee.routes.ts,108,employeeRouter
DELETE,/:id,src/routes/employee.routes.ts,115,employeeRouter
GET,/health,src/routes/health.routes.ts,6,healthRouter
GET,/health/database,src/routes/health.routes.ts,7,healthRouter
GET,/health/ready,src/routes/health.routes.ts,8,healthRouter
GET,/ready,src/routes/health.routes.ts,9,healthRouter
GET,/:entityType/template,src/routes/import.routes.ts,46,importRouter
POST,/:entityType/preview,src/routes/import.routes.ts,53,importRouter
POST,/:entityType/execute,src/routes/import.routes.ts,61,importRouter
GET,/,src/routes/location-zone.routes.ts,17,locationZoneRouter
GET,/search,src/routes/location-zone.routes.ts,24,locationZoneRouter
GET,/geocoding-summary,src/routes/location-zone.routes.ts,31,locationZoneRouter
POST,/,src/routes/location-zone.routes.ts,37,locationZoneRouter
PATCH,/:zoneId,src/routes/location-zone.routes.ts,44,locationZoneRouter
POST,/:zoneId/geocode,src/routes/location-zone.routes.ts,52,locationZoneRouter
GET,/employees,src/routes/lookup.routes.ts,31,lookupRouter
GET,/workers,src/routes/lookup.routes.ts,43,lookupRouter
GET,/services,src/routes/lookup.routes.ts,55,lookupRouter
GET,/operations,src/routes/lookup.routes.ts,66,lookupRouter
POST,/batch,src/routes/operation-assignment.routes.ts,16,operationAssignmentRouter
POST,/,src/routes/operation-assignment.routes.ts,23,operationAssignmentRouter
GET,/,src/routes/operation-assignment.routes.ts,30,operationAssignmentRouter
POST,/:assignmentId/cancel,src/routes/operation-assignment.routes.ts,36,operationAssignmentRouter
POST,/:assignmentId/end,src/routes/operation-assignment.routes.ts,42,operationAssignmentRouter
DELETE,/:assignmentId,src/routes/operation-assignment.routes.ts,49,operationAssignmentRouter
GET,/,src/routes/operation-shift.routes.ts,27,shiftTemplateRouter
POST,/,src/routes/operation-shift.routes.ts,33,shiftTemplateRouter
PATCH,/:templateId,src/routes/operation-shift.routes.ts,39,shiftTemplateRouter
DELETE,/:templateId,src/routes/operation-shift.routes.ts,46,shiftTemplateRouter
GET,/,src/routes/operation-shift.routes.ts,55,operationShiftRouter
POST,/,src/routes/operation-shift.routes.ts,62,operationShiftRouter
PATCH,/:shiftId,src/routes/operation-shift.routes.ts,69,operationShiftRouter
DELETE,/:shiftId,src/routes/operation-shift.routes.ts,76,operationShiftRouter
POST,/:shiftId/versions,src/routes/operation-shift.routes.ts,82,operationShiftRouter
POST,/:shiftId/exceptions,src/routes/operation-shift.routes.ts,89,operationShiftRouter
POST,/multi-shift,src/routes/operation-shift.routes.ts,99,operationScheduleModeRouter
POST,/single,src/routes/operation-shift.routes.ts,106,operationScheduleModeRouter
POST,/,src/routes/operation.routes.ts,31,operationRouter
POST,/import/preview,src/routes/operation.routes.ts,37,operationRouter
POST,/import/confirm,src/routes/operation.routes.ts,43,operationRouter
GET,/,src/routes/operation.routes.ts,49,operationRouter
GET,/:id/recommendations/employees,src/routes/operation.routes.ts,55,operationRouter
POST,/:id/recommendations/team,src/routes/operation.routes.ts,62,operationRouter
GET,/:id/attendance-summary,src/routes/operation.routes.ts,69,operationRouter
GET,/:id/workdays,src/routes/operation.routes.ts,76,operationRouter
GET,/:id/workdays/:workdayId,src/routes/operation.routes.ts,83,operationRouter
POST,/:id/materialize-workdays,src/routes/operation.routes.ts,89,operationRouter
POST,/:id/reactivate,src/routes/operation.routes.ts,95,operationRouter
GET,/:id,src/routes/operation.routes.ts,101,operationRouter
PUT,/:id,src/routes/operation.routes.ts,107,operationRouter
DELETE,/:id,src/routes/operation.routes.ts,114,operationRouter
POST,/,src/routes/payroll-receipt.routes.ts,19,payrollReceiptBatchRouter
GET,/,src/routes/payroll-receipt.routes.ts,26,payrollReceiptBatchRouter
GET,/:batchId,src/routes/payroll-receipt.routes.ts,33,payrollReceiptBatchRouter
POST,/:batchId/receipts,src/routes/payroll-receipt.routes.ts,40,payrollReceiptBatchRouter
GET,/,src/routes/payroll-receipt.routes.ts,48,payrollReceiptRouter
GET,/:id,src/routes/payroll-receipt.routes.ts,55,payrollReceiptRouter
GET,/:id/content,src/routes/payroll-receipt.routes.ts,62,payrollReceiptRouter
POST,/:id/replace,src/routes/payroll-receipt.routes.ts,70,payrollReceiptRouter
DELETE,/:id,src/routes/payroll-receipt.routes.ts,78,payrollReceiptRouter
POST,/:id/reconcile-association,src/routes/payroll-receipt.routes.ts,85,payrollReceiptRouter
GET,/companies,src/routes/platform-company.routes.ts,21,platformCompanyRouter
POST,/companies,src/routes/platform-company.routes.ts,23,platformCompanyRouter
POST,/companies/:companyId/deactivate,src/routes/platform-company.routes.ts,29,platformCompanyRouter
POST,/companies/:companyId/reactivate,src/routes/platform-company.routes.ts,36,platformCompanyRouter
GET,/companies/:companyId/deletion-status,src/routes/platform-company.routes.ts,42,platformCompanyRouter
GET,/companies/:companyId/whatsapp/payroll-query-deliveries/reconciliation-required,src/routes/platform-company.routes.ts,48,platformCompanyRouter
POST,/companies/:companyId/whatsapp/payroll-query-deliveries/:deliveryId/reconcile,src/routes/platform-company.routes.ts,54,platformCompanyRouter
GET,/status,src/routes/platform-server-status.routes.ts,10,platformServerStatusRouter
POST,/,src/routes/service.routes.ts,15,serviceRouter
GET,/,src/routes/service.routes.ts,21,serviceRouter
GET,/facets,src/routes/service.routes.ts,27,serviceRouter
GET,/:id,src/routes/service.routes.ts,32,serviceRouter
PUT,/:id,src/routes/service.routes.ts,38,serviceRouter
DELETE,/:id,src/routes/service.routes.ts,45,serviceRouter
GET,/attendance/summary,src/routes/statistics.routes.ts,13,statisticsRouter
GET,/attendance/timeline,src/routes/statistics.routes.ts,20,statisticsRouter
GET,/attendance/status-distribution,src/routes/statistics.routes.ts,27,statisticsRouter
GET,/attendance/action-exceptions,src/routes/statistics.routes.ts,34,statisticsRouter
GET,/attendance/by-employee,src/routes/statistics.routes.ts,41,statisticsRouter
GET,/attendance/by-operation,src/routes/statistics.routes.ts,49,statisticsRouter
GET,/attendance/by-service,src/routes/statistics.routes.ts,57,statisticsRouter
GET,/attendance/workday-details,src/routes/statistics.routes.ts,65,statisticsRouter
GET,/attendance/incident-details,src/routes/statistics.routes.ts,73,statisticsRouter
GET,/options,src/routes/system-logs.routes.ts,15,systemLogsRouter
GET,/,src/routes/system-logs.routes.ts,20,systemLogsRouter
GET,/:id/context,src/routes/system-logs.routes.ts,26,systemLogsRouter
GET,/:id,src/routes/system-logs.routes.ts,32,systemLogsRouter
POST,/whatsapp,src/routes/twilio.routes.ts,26,twilioRouter
POST,/whatsapp/status,src/routes/twilio.routes.ts,32,twilioRouter
GET,/,src/routes/user-invitation.routes.ts,20,companyInvitationRouter
POST,/,src/routes/user-invitation.routes.ts,27,companyInvitationRouter
POST,/:invitationId/resend,src/routes/user-invitation.routes.ts,35,companyInvitationRouter
POST,/:invitationId/revoke,src/routes/user-invitation.routes.ts,43,companyInvitationRouter
GET,/preview,src/routes/user-invitation.routes.ts,53,publicInvitationRouter
POST,/accept,src/routes/user-invitation.routes.ts,60,publicInvitationRouter
POST,/decline,src/routes/user-invitation.routes.ts,68,publicInvitationRouter
GET,/employee-lookups,src/routes/whatsapp-observability.routes.ts,28,whatsappObservabilityRouter
GET,/conversations,src/routes/whatsapp-observability.routes.ts,33,whatsappObservabilityRouter
GET,/conversations/:conversationId,src/routes/whatsapp-observability.routes.ts,38,whatsappObservabilityRouter
POST,/conversations/:conversationId/reveal-phone,src/routes/whatsapp-observability.routes.ts,43,whatsappObservabilityRouter
GET,/conversations/:conversationId/messages,src/routes/whatsapp-observability.routes.ts,48,whatsappObservabilityRouter
GET,/conversations/:conversationId/provider-events,src/routes/whatsapp-observability.routes.ts,54,whatsappObservabilityRouter
