store_id,official_address,neighborhood,locality
373,11 de Septiembre 3910,Nuñez,C.A.B.A.
374,Romulo Naon 2401,Villa Urquiza,C.A.B.A.
375,Esmeralda 428,San Nicolás,C.A.B.A.
376,Alvarez Jonte 3709,Villa del Parque,C.A.B.A.
378,Billinghurst 1872/76,Recoleta,C.A.B.A.
380,Otamendi 490,Caballito,C.A.B.A.
388,Alte. Segui 849,Adrogue,G.B.A.
391,Av. Cabildo 2865,Belgrano,C.A.B.A.
392,Jose Luis Borges (Ex Serrano) 2463-65,Palermo,C.A.B.A.
394,Av. Santa Fe 4489/91,Palermo,C.A.B.A.
395,Federico Lacroze 4106,Chacarita,C.A.B.A.
396,Av. San Martin 2289,Paternal,C.A.B.A.
397,Av. Corrientes 5980,Chacarita,C.A.B.A.
398,Av. Rivadavia 9436,Villa luro,C.A.B.A.
400,Av. Del Barco Centenera 177,Caballito,C.A.B.A.
402,Av. Corrientes 1974,San Nicolás,C.A.B.A.
403,Av. Santa Fe 5052,Palermo,C.A.B.A.
404,Av. Medrano 686,Almagro,C.A.B.A.
406,Salta 1637/39,Constitucion,C.A.B.A.
408,Peru 916,San telmo,C.A.B.A.
409,Av. Gaona 3567,Santa Rita,C.A.B.A.
410,Tucumán 2173,San Nicolás,C.A.B.A.
411,Av. E. Peron 3479,Flores,C.A.B.A.
412,Av. Caseros 3535,Parque Patricios,C.A.B.A.
413,Venezuela 4086,Boedo,C.A.B.A.
415,Av. San Juan 4351,Boedo,C.A.B.A.
416,Av. Almafuerte 880,Pompeya,C.A.B.A.
417,Fray Cayetano Rodriguez 464,Flores,C.A.B.A.
418,Carlos Calvo 1826,San Cristobal,C.A.B.A.
419,Olavarria 469,La Boca,C.A.B.A.
420,Av. Gaona 1384,Caballito,C.A.B.A.
421,Av. Belgrano 3447,Boedo,C.A.B.A.
422,Murature 2169,Lomas de Zamora,G.B.A.
423,Av. Castañares 4854,Villa Lugano,C.A.B.A.
424,Bartolome Mitre 226,Lujan,G.B.A.
425,Av. Brig. Gral. Juan Manuel de Rosas 2553,Jose Leon Suarez,G.B.A.
426,Montañeses 2067,Belgrano,C.A.B.A.
